entrainment,wounding,total.eggs,eggs.per.week
Ent,SS,184,23
Ent,SS,163,20.375
Ent,SS,216,27
Ent,SS,153,21.85714286
Ent,SS,114,14.25
Ent,SS,184,23
Ent,SS,190,23.75
Ent,SS,171,21.375
Ent,SS,228,28.5
Ent,SS,175,21.875
Ent,CS,102,20.75
Ent,CS,100,21
Ent,CS,98,24
Ent,CS,118,24.75
Ent,CS,117,23
Ent,CS,69,13
Ent,CS,146,28.8
Ent,CS,119,24.5
Ent,CS,89,19
Ent,CS,128,19.83333333
Ent,SS,56,13.66666667
Ent,SS,72,14.4
Ent,SS,140,17.5
Ent,SS,131,16.375
Ent,SS,141,17.625
Ent,SS,119,14.875
Ent,SS,179,22.375
Ent,SS,182,22.75
Ent,SS,130,16.25
Ent,SS,151,18.875
Ent,CS,72,17.75
Ent,CS,157,19.625
Ent,CS,92,22.5
Ent,CS,83,19
Ent,CS,37,12.33333333
Ent,CS,90,20.5
Ent,CS,79,15.25
Ent,CS,43,13.66666667
Ent,CS,84,12
Ent,CS,43,9
Ent,SS,54,10.2
Ent,SS,129,16.125
Ent,SS,158,19.75
Ent,SS,97,12.125
Ent,SS,120,15
Ent,SS,86,10.75
Ent,SS,105,13.125
Ent,SS,76,12.66666667
Ent,SS,23,4.6
Ent,SS,109,13.625
Ent,CS,95,13.28571429
Ent,CS,58,11.2
Ent,CS,131,16.375
Ent,CS,75,14.8
Ent,CS,119,17
Ent,CS,110,15.71428571
Ent,CS,63,15.75
Ent,CS,97,13.83333333
Ent,CS,83,13.83333333
Ent,CS,109,15.83333333
NonEnt,SS,156,19.5
NonEnt,SS,152,19
NonEnt,SS,132,16.5
NonEnt,SS,135,16.875
NonEnt,SS,113,14.125
NonEnt,SS,34,5.666666667
NonEnt,SS,164,20.5
NonEnt,SS,125,15.625
NonEnt,SS,141,17.625
NonEnt,SS,147,18.375
NonEnt,CS,12,2.4
NonEnt,CS,59,21.5
NonEnt,CS,53,18
NonEnt,CS,59,21
NonEnt,CS,67,23.5
NonEnt,CS,46,16
NonEnt,CS,55,19
NonEnt,CS,51,18
NonEnt,CS,50,17.5
NonEnt,CS,48,16.5
NonEnt,SS,142,17.75
NonEnt,SS,132,16.5
NonEnt,SS,90,11.25
NonEnt,SS,152,19
NonEnt,SS,117,14.625
NonEnt,SS,104,13
NonEnt,SS,107,13.375
NonEnt,SS,127,15.875
NonEnt,SS,153,19.125
NonEnt,SS,164,20.5
NonEnt,CS,155,19.375
NonEnt,CS,58,10
NonEnt,CS,108,17.66666667
NonEnt,CS,74,13
NonEnt,CS,85,17.25
NonEnt,CS,88,17.5
NonEnt,CS,73,14.5
NonEnt,CS,89,17.25
NonEnt,CS,80,15.5
NonEnt,CS,18,7
NonEnt,SS,179,22.375
NonEnt,SS,189,23.625
NonEnt,SS,125,15.625
NonEnt,SS,73,9.125
NonEnt,SS,188,23.5
NonEnt,SS,112,14
NonEnt,SS,177,22.125
NonEnt,SS,172,21.5
NonEnt,SS,183,22.875
NonEnt,SS,120,15
NonEnt,CS,83,16.6
NonEnt,CS,81,20
NonEnt,CS,107,21.4
NonEnt,CS,69,16.33333333
NonEnt,CS,96,24.66666667
NonEnt,CS,69,17.66666667
NonEnt,CS,59,13.33333333
NonEnt,CS,64,16
NonEnt,CS,85,20.66666667
NonEnt,CS,73,19
