feeding,wounding,total.eggs,eggs.per.week,weeks,days
Pred,Sterile,184,23,8,56
Pred,Sterile,163,20.375,8,56
Pred,Sterile,216,27,8,56
Pred,Sterile,153,21.85714286,6.999999999,48.99999999
Pred,Sterile,114,14.25,8,56
Pred,Sterile,184,23,8,56
Pred,Sterile,190,23.75,8,56
Pred,Sterile,171,21.375,8,56
Pred,Sterile,228,28.5,8,56
Pred,Sterile,175,21.875,8,56
Pred,Septic,102,20.75,4.915662651,34.40963855
Pred,Septic,100,21,4.761904762,33.33333333
Pred,Septic,98,24,4.083333333,28.58333333
Pred,Septic,118,24.75,4.767676768,33.37373737
Pred,Septic,117,23,5.086956522,35.60869565
Pred,Septic,69,13,5.307692308,37.15384615
Pred,Septic,146,28.8,5.069444444,35.48611111
Pred,Septic,119,24.5,4.857142857,34
Pred,Septic,89,19,4.684210526,32.78947368
Pred,Septic,128,19.83333333,6.453781514,45.1764706
Pred,Sterile,56,13.66666667,4.097560975,28.68292682
Pred,Sterile,72,14.4,5,35
Pred,Sterile,140,17.5,8,56
Pred,Sterile,131,16.375,8,56
Pred,Sterile,141,17.625,8,56
Pred,Sterile,119,14.875,8,56
Pred,Sterile,179,22.375,8,56
Pred,Sterile,182,22.75,8,56
Pred,Sterile,130,16.25,8,56
Pred,Sterile,151,18.875,8,56
Pred,Septic,72,17.75,4.056338028,28.3943662
Pred,Septic,157,19.625,8,56
Pred,Septic,92,22.5,4.088888889,28.62222222
Pred,Septic,83,19,4.368421053,30.57894737
Pred,Septic,37,12.33333333,3.000000001,21.00000001
Pred,Septic,90,20.5,4.390243902,30.73170732
Pred,Septic,79,15.25,5.180327869,36.26229508
Pred,Septic,43,13.66666667,3.146341463,22.02439024
Pred,Septic,84,12,7,49
Pred,Septic,143,30,4.766666667,33.36666667
Pred,Sterile,54,10.2,5.294117647,37.05882353
Pred,Sterile,129,16.125,8,56
Pred,Sterile,158,19.75,8,56
Pred,Sterile,97,12.125,8,56
Pred,Sterile,120,15,8,56
Pred,Sterile,86,10.75,8,56
Pred,Sterile,105,13.125,8,56
Pred,Sterile,76,12.66666667,5.999999998,41.99999999
Pred,Sterile,23,4.6,5,35
Pred,Sterile,109,13.625,8,56
Pred,Septic,95,13.28571429,7.150537632,50.05376342
Pred,Septic,58,11.2,5.178571429,36.25
Pred,Septic,131,16.375,8,56
Pred,Septic,75,14.8,5.067567568,35.47297297
Pred,Septic,119,17,7,49
Pred,Septic,110,15.71428571,7.000000002,49.00000001
Pred,Septic,63,15.75,4,28
Pred,Septic,97,13.83333333,7.012048194,49.08433736
Pred,Septic,83,13.83333333,6.000000001,42.00000001
Pred,Septic,109,15.83333333,6.884210528,48.18947369
Nonpred,Sterile,156,19.5,8,56
Nonpred,Sterile,152,19,8,56
Nonpred,Sterile,132,16.5,8,56
Nonpred,Sterile,135,16.875,8,56
Nonpred,Sterile,113,14.125,8,56
Nonpred,Sterile,34,5.666666667,6,42
Nonpred,Sterile,164,20.5,8,56
Nonpred,Sterile,125,15.625,8,56
Nonpred,Sterile,141,17.625,8,56
Nonpred,Sterile,147,18.375,8,56
Nonpred,Septic,12,2.4,5,35
Nonpred,Septic,59,21.5,2.744186047,19.20930233
Nonpred,Septic,53,18,2.944444444,20.61111111
Nonpred,Septic,59,21,2.80952381,19.66666667
Nonpred,Septic,67,23.5,2.85106383,19.95744681
Nonpred,Septic,46,16,2.875,20.125
Nonpred,Septic,55,19,2.894736842,20.26315789
Nonpred,Septic,51,18,2.833333333,19.83333333
Nonpred,Septic,50,17.5,2.857142857,20
Nonpred,Septic,48,16.5,2.909090909,20.36363636
Nonpred,Sterile,142,17.75,8,56
Nonpred,Sterile,132,16.5,8,56
Nonpred,Sterile,90,11.25,8,56
Nonpred,Sterile,152,19,8,56
Nonpred,Sterile,117,14.625,8,56
Nonpred,Sterile,104,13,8,56
Nonpred,Sterile,101,12.65,7.984189723,55.88932806
Nonpred,Sterile,127,15.875,8,56
Nonpred,Sterile,153,19.125,8,56
Nonpred,Sterile,164,20.5,8,56
Nonpred,Septic,155,19.375,8,56
Nonpred,Septic,58,10,5.8,40.6
Nonpred,Septic,108,17.66666667,6.113207546,42.79245282
Nonpred,Septic,74,13,5.692307692,39.84615385
Nonpred,Septic,85,17.25,4.927536232,34.49275362
Nonpred,Septic,88,17.5,5.028571429,35.2
Nonpred,Septic,73,14.5,5.034482759,35.24137931
Nonpred,Septic,89,17.25,5.15942029,36.11594203
Nonpred,Septic,80,15.5,5.161290323,36.12903226
Nonpred,Septic,18,7,2.571428571,18
Nonpred,Sterile,179,22.375,8,56
Nonpred,Sterile,189,23.625,8,56
Nonpred,Sterile,125,15.625,8,56
Nonpred,Sterile,73,9.125,8,56
Nonpred,Sterile,188,23.5,8,56
Nonpred,Sterile,112,14,8,56
Nonpred,Sterile,177,22.125,8,56
Nonpred,Sterile,172,21.5,8,56
Nonpred,Sterile,183,22.875,8,56
Nonpred,Sterile,120,15,8,56
Nonpred,Septic,83,16.6,5,35
Nonpred,Septic,81,20,4.05,28.35
Nonpred,Septic,107,21.4,5,35
Nonpred,Septic,69,16.33333333,4.224489797,29.57142858
Nonpred,Septic,96,24.66666667,3.891891891,27.24324324
Nonpred,Septic,69,17.66666667,3.905660377,27.33962264
Nonpred,Septic,59,13.33333333,4.425000001,30.97500001
Nonpred,Septic,64,16,4,28
Nonpred,Septic,85,20.66666667,4.112903225,28.79032258
Nonpred,Septic,73,19,3.842105263,26.89473684
